rank,name,fed,rating
1,"Carlsen, Magnus",NO,2853
2,"Firouzja, Alireza",FR,2786
3,"Ding, Liren",CN,2780
4,"Nepomniachtchi, Ian",RU,2779
5,"Nakamura, Hikaru",US,2775
6,"Caruana, Fabiano",US,2773
7,"Giri, Anish",NL,2772
8,"So, Wesley",US,2765
9,"Anand, Viswanathan",IN,2754
10,"Rapport, Richard",RO,2752
11,"Karjakin, Sergey",RU,2750
12,"Vachier-Lagrave, Maxime",FR,2747
13,"Radjabov, Teimour",AZ,2747
14,"Aronian, Levon",US,2742
15,"Mamedyarov, Shakhriyar",AZ,2740
16,"Dominguez Perez, Leinier",US,2739
17,Gukesh D,IN,2736
18,"Grischuk, Alexander",RU,2736
19,"Yu, Yangyi",CN,2734
20,"Duda, Jan-Krzysztof",PL,2732
21,"Abdusattorov, Nodirbek",UZ,2732
22,Le Quang Liem,VN,2728
23,"Topalov, Veselin",BG,2728
24,"Wang, Hao",CN,2722
25,"Wei, Yi",CN,2722
26,"Vitiugov, Nikita",FF,2721
27,"Maghsoodloo, Parham",IR,2716
28,"Dubov, Daniil",RU,2716
29,"Vidit, Santosh Gujrathi",IN,2712
30,"Shankland, Sam",US,2711
31,"Vallejo Pons, Francisco",ES,2706
32,"Harikrishna, Pentala",IN,2704
33,Erigaisi Arjun,IN,2702
34,"Sjugirov, Sanan",RU,2699
35,"Artemiev, Vladislav",RU,2699
36,"Niemann, Hans Moke",US,2695
37,"Van Foreest, Jorden",NL,2695
38,"Eljanov, Pavel",UA,2694
39,"Shevchenko, Kirill",RO,2694
40,"Bu, Xiangzhi",CN,2694
41,"Tomashevsky, Evgeny",RU,2694
42,"Deac, Bogdan-Daniel",RO,2693
43,"Svidler, Peter",FF,2692
44,"Sargissian, Gabriel",AM,2692
45,"Xiong, Jeffery",US,2692
46,"Anton Guijarro, David",ES,2691
47,"Sevian, Samuel",US,2690
48,"Amin, Bassem",EG,2690
49,"Keymer, Vincent",DE,2690
50,Praggnanandhaa R,IN,2690
51,"Navara, David",CZ,2689
52,"Robson, Ray",US,2689
53,"Oparin, Grigoriy",US,2687
54,"Alekseenko, Kirill",FF,2686
55,"Martirosyan, Haik M.",AM,2685
56,"Sarana, Alexey",RS,2685
57,"Tabatabaei, M. Amin",IR,2683
58,"Esipenko, Andrey",FF,2682
59,Nihal Sarin,IN,2681
60,"Howell, David W L",EN,2677
61,"Fedoseev, Vladimir",FF,2676
62,"Wojtaszek, Radoslaw",PL,2676
63,"Grandelius, Nils",SE,2674
64,"Wang, Yue",CN,2674
65,"Kovalenko, Igor",UA,2674
66,"Volokitin, Andrei",UA,2674
67,"Kasimdzhanov, Rustam",UZ,2673
68,"Bluebaum, Matthias",DE,2672
69,"Bacrot, Etienne",FR,2672
70,"Saric, Ivan",HR,2670
71,"Naiditsch, Arkadij",AZ,2669
72,"Ni, Hua",CN,2669
73,"Gelfand, Boris",IL,2668
74,"Shirov, Alexei",ES,2668
75,"Donchenko, Alexander",DE,2667
76,"Adams, Michael",EN,2666
77,"Leko, Peter",HU,2666
78,"Ponomariov, Ruslan",UA,2664
79,"Cheparinov, Ivan",BG,2663
80,"Matlakov, Maxim",RU,2662
81,"Korobov, Anton",UA,2661
82,"Salem, A.R. Saleh",AE,2661
83,"Guseinov, Gadir",AZ,2661
84,"Kamsky, Gata",US,2659
85,"Li, Chao b",CN,2658
86,"Inarkiev, Ernesto",FF,2658
87,Narayanan.S.L,IN,2657
88,"Kryvoruchko, Yuriy",UA,2656
89,"Moussard, Jules",FR,2655
90,"Ivanchuk, Vasyl",UA,2655
91,"Nguyen, Thai Dai Van",CZ,2653
92,"Santos Latasa, Jaime",ES,2653
93,"Predke, Alexandr",RS,2651
94,"Liang, Awonder",US,2651
95,"Melkumyan, Hrant",AM,2650
96,"Ma, Qun",CN,2648
97,"Najer, Evgeniy",FF,2646
98,"Sindarov, Javokhir",UZ,2646
99,"Malakhov, Vladimir",FF,2646
100,"Tari, Aryan",NO,2646
